Kode Sub Kanca;Sub Kanca;SEGMENT;Kode Kanca;Kanca;Kanwil;Kode Kanwil
4402;UNIT GEGERBITUNG SUKABUMI ;MIKRO;92;KC Sukabumi ;Bandung ;F
4402;UNIT GEGERBITUNG SUKABUMI ;MIKRO;92;KC Sukabumi ;Bandung ;F
884;UNIT GEGER KALONG BANDUNG ;MIKRO;408;KC Bandung Setiabudi;Bandung ;F
884;UNIT GEGER KALONG BANDUNG ;MIKRO;408;KC Bandung Setiabudi;Bandung ;F
884;UNIT GEGER KALONG BANDUNG ;MIKRO;408;KC Bandung Setiabudi;Bandung ;F
884;UNIT GEGER KALONG BANDUNG ;MIKRO;408;KC Bandung Setiabudi;Bandung ;F
7775;UNIT GEDE BAGE BANDUNG A H NAS;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
4152;UNIT GEBANG CIREBON GUNUNG JAT;MIKRO;406;KC Cirebon Gunung Jati;Bandung ;F
4152;UNIT GEBANG CIREBON GUNUNG JAT;MIKRO;406;KC Cirebon Gunung Jati;Bandung ;F
4152;UNIT GEBANG CIREBON GUNUNG JAT;MIKRO;406;KC Cirebon Gunung Jati;Bandung ;F
755;UNIT GATOT SUBROTO BANDUNG SUK;MIKRO;407;KC Bandung Sukarno Hatta;Bandung ;F
755;UNIT GATOT SUBROTO BANDUNG SUK;MIKRO;407;KC Bandung Sukarno Hatta;Bandung ;F
755;UNIT GATOT SUBROTO BANDUNG SUK;MIKRO;407;KC Bandung Sukarno Hatta;Bandung ;F
755;UNIT GATOT SUBROTO BANDUNG SUK;MIKRO;407;KC Bandung Sukarno Hatta;Bandung ;F
4275;UNIT GARAWANGI KUNINGAN ;MIKRO;133;KC Kuningan ;Bandung ;F
4191;UNIT GANTAR INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
4191;UNIT GANTAR INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
4191;UNIT GANTAR INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
4433;UNIT GANEAS SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
4433;UNIT GANEAS SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
4228;UNIT GADEL JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4228;UNIT GADEL JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4228;UNIT GADEL JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4227;UNIT GABUS WETAN JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4227;UNIT GABUS WETAN JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4227;UNIT GABUS WETAN JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4226;UNIT GABUS KULON JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4226;UNIT GABUS KULON JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4190;UNIT ERETAN KULON INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
4190;UNIT ERETAN KULON INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
4190;UNIT ERETAN KULON INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
770;UNIT DULATIP BANDUNG N;MIKRO;337;KC Bandung Naripan;Bandung ;F
4225;UNIT DRUNTEN JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4225;UNIT DRUNTEN JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4225;UNIT DRUNTEN JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
991;UNIT DIPATI UKUR BANDUNG N;MIKRO;337;KC Bandung Naripan;Bandung ;F
